point_name,month_year,TBOT_avg,PRECTmms_total_mm
2_6_105_51297,1970-05,285.42154,8.160368
2_6_105_51297,1970-06,290.11145,8.801081
2_6_105_51297,1970-07,293.9311,0.88526535
2_6_105_51297,1970-08,292.67267,0.0
2_6_105_51297,1970-09,287.51364,0.048017185
2_6_105_51297,1970-10,281.56287,104.44105
2_6_105_51297,1970-11,276.5558,440.76147
2_6_105_51297,1970-12,271.29462,490.39996
2_6_105_51297,1971-01,274.0049,274.406
2_6_105_51297,1971-02,275.02515,27.25148
2_6_105_51297,1971-03,273.33112,265.8507
2_6_105_51297,1971-04,276.78662,67.9144
2_6_105_51297,1971-05,282.05505,23.070328
2_6_105_51297,1971-06,287.2496,1.6237793
2_6_105_51297,1971-07,293.26633,8.290504
2_6_105_51297,1971-08,293.8827,3.6917229
2_6_105_51297,1971-09,286.2784,3.9583917
2_6_105_51297,1971-10,280.89093,75.34894
2_6_105_51297,1971-11,275.2685,277.04654
2_6_105_51297,1971-12,270.51093,374.6413
2_6_105_51297,1972-01,272.2819,150.80893
2_6_105_51297,1972-02,274.22388,129.6893
2_6_105_51297,1972-03,278.32077,139.54832
2_6_105_51297,1972-04,277.0687,77.94208
2_6_105_51297,1972-05,285.54297,15.415161
2_6_105_51297,1972-06,290.3487,17.327496
2_6_105_51297,1972-07,294.47202,0.11633301
2_6_105_51297,1972-08,292.4991,0.91918564
2_6_105_51297,1972-09,286.09033,34.360023
2_6_105_51297,1972-10,282.093,101.343994
2_6_105_51297,1972-11,275.2202,391.47708
2_6_105_51297,1972-12,270.5126,301.33902
2_6_105_51297,1973-01,270.9756,414.2873
2_6_105_51297,1973-02,274.53445,501.4273
2_6_105_51297,1973-03,273.57944,169.91896
2_6_105_51297,1973-04,279.10678,4.4491997
2_6_105_51297,1973-05,286.35593,7.9439735
2_6_105_51297,1973-06,289.77542,0.49776077
2_6_105_51297,1973-07,294.37067,0.4139824
2_6_105_51297,1973-08,291.82278,4.523548
2_6_105_51297,1973-09,288.53317,31.187523
2_6_105_51297,1973-10,281.92957,114.83789
2_6_105_51297,1973-11,273.25266,689.7358
2_6_105_51297,1973-12,273.67923,439.38898
2_6_105_51297,1974-01,271.201,653.13104
2_6_105_51297,1974-02,273.54388,274.18677
2_6_105_51297,1974-03,274.95993,453.4667
2_6_105_51297,1974-04,276.9163,97.10686
2_6_105_51297,1974-05,282.01794,5.882328
2_6_105_51297,1974-06,289.661,5.0462227
2_6_105_51297,1974-07,291.80756,47.014442
2_6_105_51297,1974-08,292.8366,2.4779205
2_6_105_51297,1974-09,292.14032,0.02942345
2_6_105_51297,1974-10,285.65054,37.67679
2_6_105_51297,1974-11,277.59988,125.82744
2_6_105_51297,1974-12,273.38782,296.33496
2_6_105_51297,1975-01,274.73056,143.02109
2_6_105_51297,1975-02,272.77603,423.66235
2_6_105_51297,1975-03,273.14255,436.5797
2_6_105_51297,1975-04,274.5448,73.66466
2_6_105_51297,1975-05,283.13815,10.3952675
