"LAT","LON","pltID"
39.097919,-120.546835,"3_6_61_66914"
39.102666,-120.833245,"3_6_61_82889"
40.00819,-121.418322,"3_6_63_50463"
39.864062,-120.825366,"3_6_63_52651"
39.891586,-120.934876,"3_6_63_52679"
40.147678,-121.137141,"3_6_63_53093"
40.045732,-120.956416,"3_6_63_57519"
40.216567,-120.499846,"3_6_63_64120"
39.945065,-120.319706,"3_6_63_67826"
40.082235,-120.641114,"3_6_63_70055"
40.197247,-121.274459,"3_6_63_71881"
40.00008,-121.088705,"3_6_63_86700"
40.358126,-121.281668,"3_6_63_99218"
39.706061,-121.229552,"3_6_7_77257"
39.589197,-120.143338,"3_6_91_57875"
39.509985,-121.032391,"3_6_91_58667"
39.578998,-120.87969,"3_6_91_69982"
39.596006,-120.597671,"3_6_91_78931"
39.572329,-120.408965,"3_6_91_90805"
36.309817,-118.170616,"5_6_107_62226"
36.09806,-118.637872,"5_6_107_75966"
36.118772,-118.466613,"5_6_107_84972"
35.943851,-118.31244,"5_6_107_92408"
36.602665,-118.783166,"5_6_107_96742"
36.459665,-118.474974,"5_6_107_99288"
38.128511,-119.953029,"5_6_109_59609"
37.994714,-119.6572,"5_6_109_61342"
37.088961,-119.155374,"5_6_19_63135"
37.38602,-118.980877,"5_6_19_89633"
37.187888,-119.294252,"5_6_19_93206"
37.403293,-119.156749,"5_6_19_93554"
35.774353,-118.5899,"5_6_29_85109"
38.459297,-119.693402,"5_6_3_76892"
37.520462,-119.609088,"5_6_43_82595"
37.710187,-119.017811,"5_6_51_90179"
38.279707,-120.290315,"5_6_9_64046"
38.456693,-120.317458,"5_6_9_64364"
40.912683,-122.943561,"2_6_105_51218"
41.079118,-122.937442,"2_6_105_63314"
40.996275,-122.816458,"2_6_105_64952"
41.164287,-122.489521,"2_6_105_67471"
40.967653,-122.603874,"2_6_105_84136"
41.185415,-122.69756,"2_6_105_93031"
40.171622,-120.442407,"2_6_35_64772"
40.287346,-120.630088,"2_6_35_70284"
41.800169,-120.316397,"2_6_49_55447"
41.392956,-121.069805,"2_6_49_91897"
41.005405,-122.486566,"2_6_89_63272"
40.861473,-121.638115,"2_6_89_74652"
40.693634,-121.650927,"2_6_89_78171"
40.573964,-121.766894,"2_6_89_80913"
41.11768,-122.329564,"2_6_89_84177"
41.044868,-122.486199,"2_6_89_89779"
41.145435,-122.026374,"2_6_89_94753"
41.195425,-122.166021,"2_6_93_61164"
40.31035,-121.441795,"3_6_103_51328"
39.443794,-121.137664,"3_6_115_98323"
38.847332,-120.48685,"3_6_17_50288"
38.537971,-120.605706,"3_6_17_69773"
38.954098,-120.791874,"3_6_17_73495"
39.348868,-120.659212,"3_6_57_57153"
39.299774,-120.809148,"3_6_57_59992"
39.296343,-120.53148,"3_6_61_52287"
38.991933,-120.964358,"3_6_61_87710"
39.003038,-120.666324,"3_6_61_92676"
40.081068,-121.242753,"3_6_63_60183"
39.647437,-121.042611,"3_6_63_67253"
39.972476,-121.053984,"3_6_63_76784"
40.301394,-121.085224,"3_6_63_79837"
39.804279,-121.027048,"3_6_63_83149"
39.754287,-121.205929,"3_6_63_84270"
40.095635,-120.933246,"3_6_63_84416"
40.138427,-120.768258,"3_6_63_98595"
39.798405,-120.898261,"3_6_63_99431"
39.797156,-121.349983,"3_6_7_95807"
39.64694,-120.574547,"3_6_91_66378"
39.646559,-120.714333,"3_6_91_68914"
39.500819,-120.204255,"3_6_91_99550"
36.697304,-118.907566,"5_6_107_97549"
38.050678,-120.064812,"5_6_109_64293"
38.112763,-119.92887,"5_6_109_77218"
